x_0,x_1,x_2,x_3,x_4,x_5,x_6,energy,num_occurrences
0,1,0,0,1,1,0,-100.34699999999998,1
0,1,0,0,1,0,0,-300.09400000000005,1
0,1,1,0,1,0,0,-100.30700000000002,1
0,1,1,0,1,0,1,599.116,1
0,1,0,0,1,0,1,-0.6710000000000207,1
0,1,0,0,0,0,1,-200.63300000000004,1
0,1,1,0,0,0,1,199.15399999999997,1
0,1,1,0,0,0,0,-100.269,1
0,1,0,0,0,0,0,-100.05600000000001,1
0,1,0,1,0,0,0,-210.63500000000002,1
0,1,1,1,0,0,0,-210.848,1
0,1,1,1,0,0,1,288.57499999999993,1
0,1,0,1,0,0,1,-111.21200000000005,1
0,1,0,1,1,0,1,288.75,1
0,1,1,1,1,0,1,888.537,1
0,1,1,1,1,0,0,-10.886000000000024,1
0,1,0,1,1,0,0,-210.67300000000006,1
0,1,0,1,1,1,0,189.074,1
0,1,1,1,1,1,0,588.8609999999999,1
0,1,1,1,1,1,1,1888.2839999999999,1
0,1,0,1,1,1,1,1088.497,1
0,1,0,1,0,1,1,488.53499999999997,1
0,1,1,1,0,1,1,1088.322,1
0,1,1,1,0,1,0,188.89899999999994,1
0,1,0,1,0,1,0,-10.887999999999977,1
1,1,0,1,0,1,0,-227.61499999999995,1
1,1,1,1,0,1,0,172.17199999999997,1
1,1,1,1,0,1,1,1271.595,1
1,1,0,1,0,1,1,471.808,1
1,1,0,1,1,1,1,1271.77,1
1,1,1,1,1,1,1,2271.557,1
1,1,1,1,1,1,0,772.134,1
1,1,0,1,1,1,0,172.34700000000004,1
1,1,0,1,1,0,0,-227.40000000000003,1
1,1,1,1,1,0,0,172.38699999999997,1
1,1,1,1,1,0,1,1271.81,1
1,1,0,1,1,0,1,472.023,1
1,1,0,1,0,0,1,-127.93900000000002,1
1,1,1,1,0,0,1,471.848,1
1,1,1,1,0,0,0,-227.575,1
1,1,0,1,0,0,0,-427.362,1
1,0,0,1,0,0,0,-327.306,1
1,0,1,1,0,0,0,-327.519,1
1,0,1,1,0,0,1,171.904,1
1,0,0,1,0,0,1,-227.88299999999998,1
1,0,0,1,1,0,1,372.079,1
1,0,1,1,1,0,1,971.866,1
1,0,1,1,1,0,0,72.44299999999998,1
1,0,0,1,1,0,0,-127.344,1
1,0,0,1,1,1,0,72.40300000000002,1
1,0,1,1,1,1,0,472.19,1
1,0,1,1,1,1,1,1771.613,1
1,0,0,1,1,1,1,971.826,1
1,0,0,1,0,1,1,171.86400000000003,1
1,0,1,1,0,1,1,771.6510000000001,1
1,0,1,1,0,1,0,-127.77199999999999,1
1,0,0,1,0,1,0,-327.55899999999997,1
0,0,0,1,0,1,0,-110.832,1
0,0,1,1,0,1,0,-111.04500000000002,1
0,0,1,1,0,1,1,588.3779999999999,1
0,0,0,1,0,1,1,188.591,1
0,0,0,1,1,1,1,788.553,1
0,0,1,1,1,1,1,1388.34,1
0,0,1,1,1,1,0,288.917,1
0,0,0,1,1,1,0,89.13,1
0,0,0,1,1,0,0,-110.61700000000002,1
0,0,1,1,1,0,0,-110.83000000000004,1
0,0,1,1,1,0,1,588.593,1
0,0,0,1,1,0,1,188.80599999999998,1
0,0,0,1,0,0,1,-211.156,1
0,0,1,1,0,0,1,-11.369000000000028,1
0,0,1,1,0,0,0,-310.79200000000003,1
0,0,0,1,0,0,0,-110.57900000000001,1
